,time,mag_x,mag_y,mag_z,lat,long,elevation,day/night
571,2023-04-23 04:12:35.749998,43.68307,12.21342,-30.90003,-46.292925011262646,-157.51514740160863,427.96904475504573,Day
572,2023-04-23 04:12:43.328184,43.76453,12.39137,-30.96772,-46.50885564341377,-156.91229371047137,428.0703298929584,Day
573,2023-04-23 04:12:50.904713,43.65802,12.56751,-31.20486,-46.72118344086354,-156.30459722526692,428.1703326932544,Day
574,2023-04-23 04:12:58.482869,43.57486,12.62709,-31.11511,-46.92994767606459,-155.69180070946635,428.2690750860202,Day
575,2023-04-23 04:13:06.059672,43.65231,12.87165,-31.10948,-47.135014373403784,-155.07415087257957,428.3664976753735,Day
576,2023-04-23 04:13:13.639023,43.54948,13.0465,-31.27023,-47.336438518635845,-154.45133133741479,428.46263115595485,Day
577,2023-04-23 04:13:21.217422,43.53756,13.3423,-31.43608,-47.534069410249316,-153.8236552885536,428.55740870658974,Day
578,2023-04-23 04:13:28.794525,43.57714,13.53383,-31.32099,-47.72784306640534,-153.1911862116079,428.65080485588925,Day
579,2023-04-23 04:13:36.374350,43.48671,13.66906,-31.45636,-47.917807282791394,-152.55361601352368,428.74284864950175,Day
580,2023-04-23 04:13:43.952465,43.35999,13.81148,-31.57467,-48.10379969136029,-151.9113382844221,428.8334678491189,Day
581,2023-04-23 04:13:51.529242,43.34446,14.09517,-31.56026,-48.28577656425444,-151.26436707441312,428.9226476175659,Day
582,2023-04-23 04:13:59.102694,43.46148,14.28207,-31.69575,-48.46364412842113,-150.6129049815647,429.0103487124175,Day
583,2023-04-23 04:14:06.681233,43.53925,14.41655,-31.5232,-48.637538291412405,-149.95629961307932,429.09664593184056,Day
584,2023-04-23 04:14:14.259396,43.4467,14.51869,-31.34459,-48.80728725531699,-149.29503256860355,429.1814625521864,Day
585,2023-04-23 04:14:21.842033,43.42875,14.69271,-31.16459,-48.97293635503523,-148.62876157291524,429.2648301051552,Day
586,2023-04-23 04:14:29.416380,43.29618,14.85722,-31.02534,-49.13416342000179,-147.95865067500836,429.34659471981945,Day
587,2023-04-23 04:14:37.001544,43.29741,15.16034,-30.94006,-49.29131281741399,-147.2831102140561,429.42694042517377,Day
588,2023-04-23 04:14:44.572694,43.27035,15.26826,-31.0451,-49.443832190728266,-146.60438234265374,429.5055937662799,Day
589,2023-04-23 04:14:52.159571,43.30348,15.48825,-30.96133,-49.592265170530844,-145.91989159133104,429.58284506099756,Day
590,2023-04-23 04:14:59.731986,43.28495,15.74341,-30.84388,-49.73597282554222,-145.23243112272957,429.658371943338,Day
591,2023-04-23 04:15:07.284460,43.07534,15.8591,-31.0383,-49.87483136031107,-144.54262103312806,429.73211437909805,Day
592,2023-04-23 04:15:14.850650,42.94077,15.90646,-30.9704,-50.00941569328645,-143.84749360923485,429.80438710166567,Day
593,2023-04-23 04:15:22.427135,42.88245,16.08919,-30.986,-50.139602799420814,-143.14740821208693,429.8751386594523,Day
594,2023-04-23 04:15:30.004249,42.79977,16.37726,-31.06838,-50.26516559243808,-142.44337888336617,429.94425841374357,Day
595,2023-04-23 04:15:37.583432,42.74093,16.72087,-30.96688,-50.386082966167876,-141.73536444813683,430.01174627519976,Day
596,2023-04-23 04:15:45.158296,42.624,16.82302,-30.86503,-50.50221204983387,-141.02407169962206,430.077533283225,Day
597,2023-04-23 04:15:52.733030,42.57907,16.88303,-30.71104,-50.6135765402231,-140.30924222817285,430.1416432718453,Day
598,2023-04-23 04:16:00.309021,42.53038,17.20259,-30.94703,-50.720184704241696,-139.59066067188274,430.20409306488705,Day
599,2023-04-23 04:16:07.874192,42.51193,17.48627,-31.08114,-50.821759381900996,-138.8701330992153,430.26472930487023,Day
600,2023-04-23 04:16:15.444424,42.36747,17.57691,-31.08851,-50.91855451962549,-138.14577430879118,430.32371334135115,Day
601,2023-04-23 04:16:23.021653,42.24947,17.72628,-30.84935,-51.0105220513917,-137.41769601744562,430.3810309229541,Night
602,2023-04-23 04:16:30.596576,42.2222,17.93258,-30.84821,-51.097506304148446,-136.68695553649897,430.43659779293694,Night
603,2023-04-23 04:16:38.170216,42.05081,18.09774,-30.79577,-51.17950153193641,-135.95349010737922,430.4904210025655,Night
604,2023-04-23 04:16:45.741676,41.92274,18.28558,-30.70124,-51.25645525177395,-135.2176611469195,430.54247670798503,Night
605,2023-04-23 04:16:53.320246,41.89405,18.46833,-30.54656,-51.328433982703956,-134.4786492509827,430.59282293473325,Night
606,2023-04-23 04:17:00.885152,41.7606,18.55716,-30.44019,-51.395217354412466,-133.73864864070862,430.64131475480497,Night
607,2023-04-23 04:17:08.444597,41.63743,18.83375,-30.49123,-51.456869257932105,-132.9970378727623,430.68800260087977,Night
608,2023-04-23 04:17:16.035765,41.64644,19.02314,-30.34897,-51.51364142461982,-132.2503259879639,430.7330991289071,Night
609,2023-04-23 04:17:23.611777,41.47369,19.11251,-30.07139,-51.5651441334563,-131.50327968700972,430.7763132899584,Night
610,2023-04-23 04:17:31.181189,41.41394,19.23889,-29.74274,-51.611439014552325,-130.755198993164,430.8176968979096,Night
611,2023-04-23 04:17:38.766715,41.51281,19.44315,-29.56966,-51.65263445678898,-130.00403534822107,430.85736306379744,Night
612,2023-04-23 04:17:46.345315,41.40538,19.59447,-29.48267,-51.68857922886929,-129.25224028572458,430.89518252781846,Night
613,2023-04-23 04:17:53.913900,41.37255,19.91205,-29.37371,-51.71926169988939,-128.5002956117553,430.931141083749,Night
614,2023-04-23 04:18:01.492226,41.37179,20.02514,-29.43024,-51.74474895107334,-127.74643819213294,430.9653270897233,Night
